,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline-f1_score,advanced-f1_score,fourier-f1_score,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,improvement_in_advanced,improvement_in_fourier,room_for_improvement,fourier_minus_advanced,percentage_of_room_filled
9,False,True,False,True,True,False,True,False,0.8871966771114187,0.9536747615612727,0.9824136818328493,49228,98456,0.5,0.9824136818328493,0.06647808444985404,0.09521700472143058,0.1128033228885813,0.02873892027157654,84.4097516661622
36,False,False,False,True,True,False,True,False,0.8868887990889387,0.9512313282196204,0.979644797664423,49228,196912,0.25,0.979644797664423,0.06434252913068172,0.09275599857548433,0.1131112009110613,0.028413469444802608,82.00425583706591
25,False,True,False,False,False,False,False,True,0.7453669925580039,0.8334763948497854,0.8316991396761133,126500,63250,2.0,0.8334763948497854,0.08810940229178155,0.08633214711810944,0.25463300744199613,-0.0017772551736721098,33.90453892265926
47,False,False,False,False,True,False,False,False,0.727297425796373,0.7255527593025346,0.8114883318160623,161706,323412,0.5,0.8114883318160623,-0.0017446664938384204,0.08419090601968926,0.272702574203627,0.08593557251352768,30.872794752873844
20,False,True,False,False,True,False,False,False,0.7276855895196507,0.7262493259032896,0.8099662255689053,161706,161706,1.0,0.8099662255689053,-0.0014362636163610665,0.08228063604925462,0.2723144104803493,0.08371689966561568,30.21530733688151
26,False,True,False,False,False,False,False,False,0.8158027685157118,0.8542676855457817,0.8977143593528509,323412,161706,2.0,0.8977143593528509,0.038464917030069934,0.08191159083713917,0.18419723148428824,0.043446673807069236,44.46950161904366
48,False,False,False,False,False,True,True,False,0.6989090426766588,0.7817341227999026,0.7762139054686239,98456,196912,0.5,0.7817341227999026,0.08282508012324385,0.07730486279196513,0.30109095732334124,-0.005520217331278721,25.67492012353846
7,False,True,True,False,False,False,False,True,0.7311695794123295,0.7826151893062505,0.8023749550197913,63250,63250,1.0,0.8023749550197913,0.051445609893920996,0.07120537560746176,0.2688304205876705,0.019759765713540767,26.487097498789353
15,False,True,False,True,False,False,True,False,0.9426477586370992,0.9754801063128234,0.9905669824357615,98456,98456,1.0,0.9905669824357615,0.032832347675724294,0.047919223798662314,0.057352241362900847,0.01508687612293802,83.55248663334643
53,False,False,False,False,False,False,False,False,0.6837153863074806,0.686916430529103,0.7285390475433026,323412,323412,1.0,0.7285390475433026,0.0032010442216223733,0.04482366123582193,0.31628461369251937,0.04162261701419956,14.171938594331339
11,False,True,False,True,True,False,False,False,0.7133958346441829,0.732668340458257,0.7576308058041221,80853,161706,0.5,0.7576308058041221,0.019272505814074137,0.04423497115993924,0.2866041653558171,0.024962465345865104,15.43416897134828
38,False,False,False,True,True,False,False,False,0.7128584566507817,0.7308854707023321,0.7567036549152694,80853,323412,0.25,0.7567036549152694,0.018027014051550383,0.04384519826448763,0.28714154334921826,0.025818184212937245,15.269541896681805
50,False,False,False,False,False,True,False,False,0.6473146314521988,0.6851192920031022,0.6759583481625202,161706,323412,0.5,0.6851192920031022,0.03780466055090337,0.0286437167103214,0.3526853685478012,-0.00916094384058197,8.121606186347698
17,False,True,False,True,False,False,False,False,0.8443695120847289,0.8585099111414902,0.871336021916262,161706,161706,1.0,0.871336021916262,0.014140399056761344,0.026966509831533148,0.15563048791527112,0.012826110774771804,17.327266779639185
3,False,True,True,False,False,True,True,False,0.9786273086539237,0.9969550566359465,0.9986582638747713,49228,98456,0.5,0.9986582638747713,0.018327747982022857,0.020030955220847635,0.021372691346076333,0.0017032072388247776,93.72219388048656
5,False,True,True,False,False,True,False,False,0.9861258286305725,0.9979219237049131,0.9992814489952674,80853,161706,0.5,0.9992814489952674,0.01179609507434054,0.013155620364694864,0.01387417136942748,0.0013595252903543242,94.82094472095118
21,False,True,False,False,False,True,True,False,0.9890259805396729,0.9986119213824458,0.9993357086780603,98456,98456,1.0,0.9993357086780603,0.009585940842772867,0.010309728138387375,0.010974019460327056,0.0007237872956145086,93.94669086982024
23,False,True,False,False,False,True,False,False,0.9924119241192412,0.9989139288623404,0.9995307367433132,161706,161706,1.0,0.9995307367433132,0.0065020047430992545,0.007118812624071991,0.007588075880758827,0.0006168078809727362,93.8157806529485
12,False,True,False,True,False,True,True,False,0.9975437890074492,0.9992739593417231,0.9997578692493946,49228,98456,0.5,0.9997578692493946,0.0017301703342739172,0.00221408024194536,0.002456210992550778,0.0004839099076714426,90.14210296510541
14,False,True,False,True,False,True,False,False,0.9986560781918142,0.999584219923203,0.9999021382786123,80853,161706,0.5,0.9999021382786123,0.0009281417313887763,0.001246060086798062,0.0013439218081857662,0.0003179183554092857,92.71819827674251
13,False,True,False,True,False,True,False,True,1.0,1.0,1.0,31625,63250,0.5,1.0,0.0,0.0,0.0,0.0,
22,False,True,False,False,False,True,False,True,1.0,1.0,1.0,63250,63250,1.0,1.0,0.0,0.0,0.0,0.0,
4,False,True,True,False,False,True,False,True,1.0,1.0,1.0,31625,63250,0.5,1.0,0.0,0.0,0.0,0.0,
